appid,name,price,positive_ratings,negative_ratings,total_ratings
1006270,oldbI tyt ?,0.79,20,3,23
1006390,プランZ PlanZ,0.00,7,2,9
1006400,Fantasia of the Wind 2 风之幻想曲 第二部,5.19,29,2,31
1006430,Hectic Highways,2.99,3,0,3
1006440,The Dame Was Loaded,4.79,1,0,1
1006450,Eric The Unready,4.79,2,0,2
1006470,The Legacy of Music,3.99,0,2,2
1006600,Hentai Octoq Puzzle,0.79,1,2,3
1006700,3Gun Nation VR,2.89,12,7,19
1006720,PUZZLE: BIRDS,0.79,3,1,4
1006730,Cantrip Cafe,0.00,5,0,5
1006760,Cyborg Ninja vs. The Third Reich,1.69,3,1,4
1006770,the LAST LETTER,18.90,1,1,2
1006800,汉末求生  Survival in Three kingdoms,7.19,41,1,42
1006810,Time Travel VR,8.29,0,1,1
1006850,XDeskClock,2.09,6,1,7
1006880,Chocolate makes you happy: Valentine's Day,0.79,4,6,10
1006920,Pull Ball,0.79,3,1,4
1007050,Dark Hill Museum of Death,2.09,10,1,11
1007080,Death Rpg,0.79,2,2,4
1007140,Future Aero Racing S Ultra,4.79,3,0,3
1007200,Mutagen Extinction,19.49,2,2,4
1007210,Trouble Travel TT,0.79,16,2,18
1007260,BubbleGum-Push,0.00,4,3,7
1007350,Mirror Maker,1.69,122,29,151
1007360,SZEN,0.00,3,0,3
1007430,SixCubes,7.19,12,0,12
1007440,Solitaire: Learn Chemistry,0.79,2,1,3
1007480,Manipulator of Figure,0.79,25,2,27
1007490,Gladiator: Blades of Fury,7.19,1,1,2
1007560,Fun VR Farm,2.89,3,1,4
1007630,Wraithslayer,3.99,35,0,35
1007730,Greed 2: Forbidden Experiments,4.99,10,3,13
1007780,The Jekoos,2.09,9,3,12
1007820,Brawl,0.00,6,0,6
1007870,B画少说,5.19,8,2,10
1007880,BALL!,4.79,5,1,6
1007900,Manipulator of Figure 2,0.79,24,1,25
1007980,Santa in search of toys,2.89,9,1,10
1008000,Aetheria Online,0.00,42,20,62
1008010,Spykebots,8.29,7,1,8
1008060,The HARDEST BrickBreaker,1.69,6,0,6
1008140,The Chills,0.79,4,2,6
1008260,Where Is The Beach?,1.69,3,1,4
1008280,Fairy Picturebook of Hero and Sorceress / 勇者と魔法使いとおとぎの絵本,10.29,20,0,20
1008290,Lucky Of Love,0.79,32,25,57
