genre,avg_negative_ratio,game_count
Action;Adventure;Casual;Indie;Simulation;Sports;Strategy,38.98,2
Action;Adventure;Casual;Indie;Simulation;Strategy,47.46,22
Action;Adventure;Casual;Indie;Simulation;Strategy;Early Access,49.91,5
Action;Adventure;Casual;Indie;Sports,52.47,4
Action;Adventure;Casual;Indie;Sports;Early Access,31.44,2
Action;Adventure;Casual;Indie;Sports;Strategy,0.00,1
Action;Adventure;Casual;Indie;Strategy,32.22,77
Action;Adventure;Casual;Indie;Strategy;Early Access,30.47,14
Action;Adventure;Casual;Massively Multiplayer,20.48,3
Action;Adventure;Casual;Massively Multiplayer;RPG;Early Access,38.10,1
Action;Adventure;Casual;Massively Multiplayer;RPG;Simulation,57.14,1
Action;Adventure;Casual;Massively Multiplayer;RPG;Strategy;Early Access,38.04,1
Action;Adventure;Casual;RPG,34.67,10
Action;Adventure;Casual;RPG;Early Access,33.33,1
Action;Adventure;Casual;RPG;Simulation,25.00,1
Action;Adventure;Casual;RPG;Simulation;Strategy;Early Access,50.00,1
Action;Adventure;Casual;RPG;Strategy,39.66,1
Action;Adventure;Casual;Racing,39.68,4
Action;Adventure;Casual;Racing;RPG;Early Access,37.44,1
Action;Adventure;Casual;Racing;RPG;Simulation;Sports;Strategy,52.63,1
Action;Adventure;Casual;Racing;RPG;Sports;Strategy,19.07,1
Action;Adventure;Casual;Racing;Simulation;Sports,37.00,2
Action;Adventure;Casual;Simulation,33.29,12
Action;Adventure;Casual;Simulation;Sports;Strategy;Early Access,0.00,1
Action;Adventure;Casual;Simulation;Strategy,78.89,1
Action;Adventure;Casual;Sports,14.29,1
Action;Adventure;Casual;Sports;Strategy;Early Access,12.18,1
Action;Adventure;Casual;Strategy,45.57,7
Action;Adventure;Casual;Strategy;Early Access,72.22,2
Action;Adventure;Early Access,35.24,20
Action;Adventure;Early Access;Indie;Strategy,45.59,1
Action;Adventure;Free to Play,35.43,5
Action;Adventure;Free to Play;Early Access,46.15,1
Action;Adventure;Free to Play;Indie,24.18,32
Action;Adventure;Free to Play;Indie;Early Access,31.38,7
Action;Adventure;Free to Play;Indie;Massively Multiplayer,46.14,2
Action;Adventure;Free to Play;Indie;Massively Multiplayer;Early Access,41.85,1
Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,32.64,5
Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,35.64,3
Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,40.78,2
Action;Adventure;Free to Play;Indie;Massively Multiplayer;Racing;RPG;Strategy;Early Access,49.58,1
Action;Adventure;Free to Play;Indie;Massively Multiplayer;Strategy;Early Access,49.74,2
Action;Adventure;Free to Play;Indie;RPG,29.81,6
Action;Adventure;Free to Play;Indie;RPG;Early Access,31.36,2
Action;Adventure;Free to Play;Indie;RPG;Simulation;Early Access,26.19,1
Action;Adventure;Free to Play;Indie;RPG;Strategy,40.89,1
Action;Adventure;Free to Play;Indie;Simulation,37.62,3
Action;Adventure;Free to Play;Indie;Simulation;Strategy,25.76,4
Action;Adventure;Free to Play;Indie;Strategy,5.19,1
Action;Adventure;Free to Play;Indie;Strategy;Early Access,18.97,1
Action;Adventure;Free to Play;Massively Multiplayer,51.10,2
Action;Adventure;Free to Play;Massively Multiplayer;RPG,40.32,18
Action;Adventure;Free to Play;Massively Multiplayer;RPG;Strategy,33.80,3
Action;Adventure;Free to Play;RPG,30.91,2
Action;Adventure;Free to Play;RPG;Early Access,14.29,1
Action;Adventure;Free to Play;RPG;Simulation,9.67,1
Action;Adventure;Free to Play;RPG;Simulation;Early Access,34.45,2
Action;Adventure;Free to Play;RPG;Strategy;Early Access,29.55,1
Action;Adventure;Free to Play;Racing;Sports;Early Access,100.00,1
Action;Adventure;Free to Play;Simulation,42.50,2
Action;Adventure;Free to Play;Simulation;Sports,57.38,1
Action;Adventure;Free to Play;Sports;Strategy,32.61,1
Action;Adventure;Indie,28.65,1229
Action;Adventure;Indie;Early Access,29.53,132
Action;Adventure;Indie;Massively Multiplayer,51.79,2
Action;Adventure;Indie;Massively Multiplayer;Early Access,34.86,4
Action;Adventure;Indie;Massively Multiplayer;RPG,26.13,13
Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access,42.37,10
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation,37.44,1
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access,14.27,3
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy,31.41,1
Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,37.88,2
Action;Adventure;Indie;Massively Multiplayer;RPG;Strategy;Early Access,50.00,1
Action;Adventure;Indie;Massively Multiplayer;Racing;Simulation,25.71,1
Action;Adventure;Indie;Massively Multiplayer;Simulation,34.87,4
Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access,44.37,7
Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy,17.39,1
Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy;Early Access,39.43,1
Action;Adventure;Indie;RPG,27.64,330
Action;Adventure;Indie;RPG;Early Access,30.20,111
Action;Adventure;Indie;RPG;Simulation,37.41,25
Action;Adventure;Indie;RPG;Simulation;Early Access,39.66,21
Action;Adventure;Indie;RPG;Simulation;Sports,4.28,1
Action;Adventure;Indie;RPG;Simulation;Sports;Strategy,40.54,1
Action;Adventure;Indie;RPG;Simulation;Strategy,32.90,15
Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access,21.02,9
Action;Adventure;Indie;RPG;Sports,23.53,1
Action;Adventure;Indie;RPG;Sports;Strategy;Early Access,50.00,1
Action;Adventure;Indie;RPG;Strategy,32.23,55
Action;Adventure;Indie;RPG;Strategy;Early Access,45.84,22
Action;Adventure;Indie;Racing,25.41,19
Action;Adventure;Indie;Racing;Early Access,0.00,2
Action;Adventure;Indie;Racing;RPG,25.00,1
Action;Adventure;Indie;Racing;RPG;Simulation;Early Access,36.36,1
Action;Adventure;Indie;Racing;RPG;Sports,0.00,1
Action;Adventure;Indie;Racing;RPG;Strategy,39.53,1
Action;Adventure;Indie;Racing;Simulation,32.81,5
Action;Adventure;Indie;Racing;Simulation;Early Access,23.73,1
Action;Adventure;Indie;Racing;Simulation;Sports,26.67,2
