genre,avg_negative_ratio,game_count
Action;Massively Multiplayer;Early Access,52.58,7
Action;Massively Multiplayer;RPG,39.06,2
Action;Massively Multiplayer;RPG;Early Access,47.26,3
Action;Massively Multiplayer;RPG;Strategy,54.55,1
Action;Massively Multiplayer;Racing,37.38,3
Action;Massively Multiplayer;Racing;RPG;Simulation;Early Access,56.34,1
Action;Massively Multiplayer;Racing;Simulation,46.04,1
Action;Massively Multiplayer;Simulation,48.43,5
Action;Massively Multiplayer;Simulation;Early Access,21.86,3
Action;Massively Multiplayer;Simulation;Strategy,21.74,1
Action;Massively Multiplayer;Strategy,45.45,1
Action;Massively Multiplayer;Strategy;Early Access,40.00,1
Action;RPG,25.46,98
Action;RPG;Early Access,44.34,7
Action;RPG;Indie,22.36,3
Action;RPG;Simulation,25.90,6
Action;RPG;Simulation;Early Access,50.00,1
Action;RPG;Simulation;Strategy,21.61,2
Action;RPG;Sports;Early Access,20.00,1
Action;RPG;Strategy,28.77,11
Action;RPG;Strategy;Early Access,44.00,1
Action;Racing,34.90,40
Action;Racing;Early Access,29.13,5
Action;Racing;RPG,20.13,1
Action;Racing;Simulation,58.58,6
Action;Racing;Simulation;Sports,45.14,8
Action;Racing;Sports,26.62,6
Action;Racing;Sports;Early Access,8.52,1
Action;Racing;Strategy,28.57,1
Action;Simulation,44.35,65
Action;Simulation;Early Access,37.26,12
Action;Simulation;Sports,23.91,10
Action;Simulation;Sports;Strategy,38.32,2
Action;Simulation;Strategy,41.38,29
Action;Simulation;Strategy;Early Access,41.56,4
Action;Sports,46.49,17
Action;Sports;Early Access,44.16,3
Action;Sports;Strategy,12.50,1
Action;Sports;Strategy;Early Access,33.33,1
Action;Strategy,29.15,76
Action;Strategy;Casual,16.51,1
Action;Strategy;Early Access,30.94,8
Action;Strategy;Indie,53.08,2
Action;Strategy;Indie;Sports,22.16,1
Adventure,23.73,535
Adventure;Casual,22.67,506
Adventure;Casual;Early Access,55.90,4
Adventure;Casual;Free to Play,30.66,18
Adventure;Casual;Free to Play;Early Access,43.24,1
Adventure;Casual;Free to Play;Indie,20.15,49
Adventure;Casual;Free to Play;Indie;Early Access,11.71,1
Adventure;Casual;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,25.09,4
Adventure;Casual;Free to Play;Indie;Massively Multiplayer;Simulation,41.67,1
Adventure;Casual;Free to Play;Indie;RPG,18.95,6
Adventure;Casual;Free to Play;Indie;RPG;Early Access,12.50,2
Adventure;Casual;Free to Play;Indie;RPG;Simulation,15.92,4
Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy,17.10,5
Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy;Early Access,9.23,1
Adventure;Casual;Free to Play;Indie;RPG;Strategy,21.91,2
Adventure;Casual;Free to Play;Indie;Simulation,23.03,8
Adventure;Casual;Free to Play;Indie;Simulation;Sports;Strategy,70.87,1
Adventure;Casual;Free to Play;Indie;Strategy,23.03,3
Adventure;Casual;Free to Play;Indie;Strategy;Early Access,22.22,1
Adventure;Casual;Free to Play;Massively Multiplayer;RPG,38.78,4
Adventure;Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Sports;Early Access,33.55,1
Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Early Access,11.40,1
Adventure;Casual;Free to Play;Massively Multiplayer;Strategy,19.92,1
Adventure;Casual;Free to Play;RPG,23.23,3
Adventure;Casual;Free to Play;Simulation,13.67,4
Adventure;Casual;Free to Play;Sports,14.29,1
Adventure;Casual;Free to Play;Strategy,38.37,1
Adventure;Casual;Indie,26.22,801
Adventure;Casual;Indie;Animation & Modeling;Education;Video Production,11.11,1
Adventure;Casual;Indie;Early Access,28.78,25
Adventure;Casual;Indie;Massively Multiplayer,50.00,1
Adventure;Casual;Indie;Massively Multiplayer;RPG,66.67,1
Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Sports;Strategy,40.00,1
Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy,66.67,1
Adventure;Casual;Indie;Massively Multiplayer;RPG;Strategy;Early Access,62.50,1
Adventure;Casual;Indie;Massively Multiplayer;Simulation,61.07,2
Adventure;Casual;Indie;Massively Multiplayer;Strategy;Early Access,36.79,2
Adventure;Casual;Indie;RPG,26.42,147
Adventure;Casual;Indie;RPG;Early Access,22.61,10
Adventure;Casual;Indie;RPG;Simulation,24.21,30
Adventure;Casual;Indie;RPG;Simulation;Early Access,28.97,10
Adventure;Casual;Indie;RPG;Simulation;Sports,31.31,3
Adventure;Casual;Indie;RPG;Simulation;Sports;Strategy,62.50,2
Adventure;Casual;Indie;RPG;Simulation;Strategy,31.46,39
Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access,29.47,1
Adventure;Casual;Indie;RPG;Sports,31.43,1
Adventure;Casual;Indie;RPG;Strategy,29.14,62
Adventure;Casual;Indie;RPG;Strategy;Early Access,19.30,8
Adventure;Casual;Indie;Racing,36.11,11
Adventure;Casual;Indie;Racing;Early Access,100.00,1
Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy,50.00,1
Adventure;Casual;Indie;Racing;RPG;Simulation;Strategy,37.21,1
Adventure;Casual;Indie;Racing;Simulation,24.08,2
Adventure;Casual;Indie;Racing;Simulation;Early Access,100.00,1
Adventure;Casual;Indie;Racing;Simulation;Sports,64.65,6
Adventure;Casual;Indie;Racing;Simulation;Sports;Early Access,62.50,1
Adventure;Casual;Indie;Racing;Simulation;Sports;Strategy,9.09,1
Adventure;Casual;Indie;Racing;Strategy,80.00,1
Adventure;Casual;Indie;Simulation,35.87,146
Adventure;Casual;Indie;Simulation;Accounting,50.00,1
Adventure;Casual;Indie;Simulation;Early Access,28.84,11
Adventure;Casual;Indie;Simulation;Sports,72.77,8
Adventure;Casual;Indie;Simulation;Sports;Strategy,31.82,8
Adventure;Casual;Indie;Simulation;Strategy,47.25,26
Adventure;Casual;Indie;Simulation;Strategy;Early Access,30.92,5
Adventure;Casual;Indie;Sports,37.36,5
Adventure;Casual;Indie;Sports;Early Access,50.00,1
Adventure;Casual;Indie;Sports;Strategy,29.55,4
Adventure;Casual;Indie;Strategy,30.31,55
Adventure;Casual;Indie;Strategy;Early Access,19.60,7
Adventure;Casual;Massively Multiplayer;Simulation,21.83,2
Adventure;Casual;RPG,26.15,12
Adventure;Casual;RPG;Early Access,28.57,1
Adventure;Casual;RPG;Simulation,26.33,6
Adventure;Casual;RPG;Simulation;Strategy,18.36,3
Adventure;Casual;RPG;Strategy,38.73,5
Adventure;Casual;RPG;Strategy;Early Access,0.00,1
Adventure;Casual;Racing,38.35,2
Adventure;Casual;Simulation,27.54,43
Adventure;Casual;Simulation;Design & Illustration,0.00,1
Adventure;Casual;Simulation;Early Access,6.34,1
Adventure;Casual;Simulation;Strategy,19.59,26
Adventure;Casual;Sports,100.00,1
Adventure;Casual;Strategy,26.67,22
Adventure;Casual;Strategy;Early Access,28.66,1
Adventure;Early Access,38.89,10
Adventure;Free to Play,20.78,24
Adventure;Free to Play;Indie,19.91,59
Adventure;Free to Play;Indie;Early Access,42.81,3
Adventure;Free to Play;Indie;Massively Multiplayer,39.25,1
Adventure;Free to Play;Indie;Massively Multiplayer;RPG,32.77,3
Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,27.52,2
Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,42.00,3
Adventure;Free to Play;Indie;RPG,19.92,23
Adventure;Free to Play;Indie;RPG;Early Access,34.77,3
Adventure;Free to Play;Indie;RPG;Simulation;Strategy,44.44,1
Adventure;Free to Play;Indie;RPG;Strategy,21.76,5
Adventure;Free to Play;Indie;Simulation,19.10,2
Adventure;Free to Play;Indie;Strategy;Early Access,19.05,1
Adventure;Free to Play;Massively Multiplayer,60.59,1
Adventure;Free to Play;Massively Multiplayer;RPG,38.49,8
Adventure;Free to Play;Massively Multiplayer;RPG;Simulation;Early Access,52.30,1
Adventure;Free to Play;Massively Multiplayer;RPG;Strategy,30.74,2
Adventure;Free to Play;Massively Multiplayer;Simulation;Early Access,75.76,1
Adventure;Free to Play;RPG,31.65,4
Adventure;Free to Play;RPG;Simulation;Strategy;Early Access,46.67,1
Adventure;Free to Play;RPG;Strategy,31.28,5
Adventure;Free to Play;RPG;Strategy;Early Access,51.76,1
Adventure;Free to Play;Simulation,26.47,7
Adventure;Free to Play;Simulation;Strategy,32.26,1
Adventure;Free to Play;Sports,30.77,1
Adventure;Indie,23.93,1170
Adventure;Indie;Casual,31.16,1
Adventure;Indie;Early Access,26.19,55
Adventure;Indie;Massively Multiplayer,35.09,3
Adventure;Indie;Massively Multiplayer;RPG,29.02,1
Adventure;Indie;Massively Multiplayer;RPG;Early Access,50.00,1
Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access,92.31,1
Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,32.62,1
Adventure;Indie;Massively Multiplayer;RPG;Strategy,27.71,3
Adventure;Indie;Massively Multiplayer;Simulation;Early Access,35.48,1
Adventure;Indie;RPG,25.50,449
Adventure;Indie;RPG;Early Access,32.06,25
Adventure;Indie;RPG;Simulation,34.47,21
Adventure;Indie;RPG;Simulation;Early Access,19.65,14
Adventure;Indie;RPG;Simulation;Strategy,33.39,21
Adventure;Indie;RPG;Simulation;Strategy;Early Access,57.86,4
Adventure;Indie;RPG;Strategy,24.76,88
Adventure;Indie;RPG;Strategy;Early Access,17.90,14
Adventure;Indie;Racing,7.93,4
Adventure;Indie;Racing;Early Access,22.22,2
Adventure;Indie;Racing;RPG;Simulation;Early Access,10.00,2
Adventure;Indie;Racing;Simulation;Early Access,50.00,1
Adventure;Indie;Racing;Simulation;Sports,8.45,1
Adventure;Indie;Racing;Strategy;Early Access,0.00,1
Adventure;Indie;Simulation,30.91,124
Adventure;Indie;Simulation;Early Access,32.82,10
Adventure;Indie;Simulation;Sports,60.00,1
Adventure;Indie;Simulation;Strategy,29.45,21
Adventure;Indie;Simulation;Strategy;Early Access,27.09,6
Adventure;Indie;Sports,14.19,2
Adventure;Indie;Strategy,27.76,77
Adventure;Indie;Strategy;Early Access,17.78,14
Adventure;Massively Multiplayer,31.78,1
Adventure;Massively Multiplayer;RPG,51.26,2
Adventure;Massively Multiplayer;RPG;Simulation;Early Access,60.80,1
Adventure;Massively Multiplayer;RPG;Strategy,27.87,1
Adventure;Massively Multiplayer;Strategy;Early Access,50.00,1
Adventure;RPG,22.57,70
Adventure;RPG;Early Access,10.63,2
Adventure;RPG;Simulation,23.89,5
Adventure;RPG;Simulation;Strategy,29.06,5
Adventure;RPG;Strategy,20.72,26
Adventure;RPG;Strategy;Early Access,54.12,2
Adventure;Racing,60.12,3
Adventure;Racing;Simulation;Sports,37.72,1
Adventure;Racing;Sports,66.67,1
Adventure;Simulation,31.11,30
Adventure;Simulation;Early Access,50.73,7
Adventure;Simulation;Sports,53.18,4
Adventure;Simulation;Strategy,35.10,10
Adventure;Sports,55.42,2
Adventure;Strategy,26.07,22
Adventure;Strategy;Early Access,9.09,1
Animation & Modeling,19.31,3
Animation & Modeling;Audio Production;Design & Illustration;Education;Early Access,0.00,1
Animation & Modeling;Audio Production;Design & Illustration;Utilities;Video Production;Web Publishing,7.34,1
Animation & Modeling;Audio Production;Software Training;Utilities;Video Production,100.00,1
Animation & Modeling;Audio Production;Utilities,42.86,1
Animation & Modeling;Design & Illustration,21.31,2
Animation & Modeling;Design & Illustration;Education,31.11,1
Animation & Modeling;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production,48.00,1
Animation & Modeling;Design & Illustration;Education;Software Training;Utilities,30.53,3
Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Early Access,44.88,2
Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Game Development,26.75,3
Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Video Production;Web Publishing;Game Development,18.60,1
Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing,10.71,1
Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing;Game Development,19.64,3
Animation & Modeling;Design & Illustration;Education;Utilities;Early Access,34.48,1
Animation & Modeling;Design & Illustration;Education;Utilities;Web Publishing;Game Development,42.86,1
Animation & Modeling;Design & Illustration;Education;Video Production;Game Development;Early Access,7.14,1
Animation & Modeling;Design & Illustration;Game Development,11.18,2
Animation & Modeling;Design & Illustration;Game Development;Early Access,20.00,1
Animation & Modeling;Design & Illustration;Photo Editing,24.20,1
Animation & Modeling;Design & Illustration;Photo Editing;Software Training;Utilities;Video Production,32.14,1
Animation & Modeling;Design & Illustration;Photo Editing;Utilities,31.65,1
Animation & Modeling;Design & Illustration;Photo Editing;Utilities;Web Publishing;Game Development,53.61,1
Animation & Modeling;Design & Illustration;Utilities,22.26,7
Animation & Modeling;Design & Illustration;Utilities;Early Access,40.97,5
Animation & Modeling;Design & Illustration;Utilities;Video Production,23.08,1
Animation & Modeling;Design & Illustration;Utilities;Video Production;Early Access,15.79,1
Animation & Modeling;Design & Illustration;Video Production,6.25,1
Animation & Modeling;Design & Illustration;Web Publishing,17.03,2
Animation & Modeling;Early Access,28.57,1
Animation & Modeling;Education;Utilities;Web Publishing,10.33,1
Animation & Modeling;Software Training;Utilities;Early Access,30.86,1
Animation & Modeling;Utilities,16.94,4
Animation & Modeling;Utilities;Early Access,8.37,4
Animation & Modeling;Utilities;Video Production,52.78,2
Animation & Modeling;Video Production,11.91,2
Audio Production,46.00,4
Audio Production;Design & Illustration;Utilities;Video Production;Web Publishing,20.00,1
Audio Production;Early Access,39.47,1
Audio Production;Education;Software Training;Video Production;Web Publishing,56.38,1
Audio Production;Utilities,46.70,8
Audio Production;Utilities;Early Access,8.33,1
Casual,31.03,560
Casual;Animation & Modeling;Design & Illustration,0.00,1
Casual;Animation & Modeling;Video Production,35.71,1
Casual;Early Access,27.67,19
Casual;Free to Play,26.58,28
Casual;Free to Play;Early Access,33.15,2
Casual;Free to Play;Indie,20.11,89
Casual;Free to Play;Indie;Accounting;Animation & Modeling;Audio Production;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production;Web Publishing,26.09,1
Casual;Free to Play;Indie;Early Access,23.07,7
Casual;Free to Play;Indie;Massively Multiplayer;RPG,21.64,1
Casual;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,40.31,1
Casual;Free to Play;Indie;Massively Multiplayer;RPG;Simulation,43.12,1
Casual;Free to Play;Indie;Massively Multiplayer;RPG;Strategy,36.23,1
Casual;Free to Play;Indie;Massively Multiplayer;Simulation,32.00,1
Casual;Free to Play;Indie;Massively Multiplayer;Simulation;Early Access,9.12,1
Casual;Free to Play;Indie;Massively Multiplayer;Simulation;Sports;Strategy,29.41,1
Casual;Free to Play;Indie;Massively Multiplayer;Strategy,28.77,3
Casual;Free to Play;Indie;RPG,19.15,8
Casual;Free to Play;Indie;RPG;Simulation,22.69,3
Casual;Free to Play;Indie;RPG;Simulation;Strategy,45.85,5
Casual;Free to Play;Indie;RPG;Simulation;Strategy;Early Access,29.29,1
Casual;Free to Play;Indie;RPG;Strategy,21.31,1
Casual;Free to Play;Indie;RPG;Strategy;Accounting;Animation & Modeling;Audio Production;Design & Illustration;Education;Photo Editing;Software Training;Utilities;Video Production;Web Publishing;Game Development,63.64,1
Casual;Free to Play;Indie;RPG;Strategy;Early Access,32.15,2
Casual;Free to Play;Indie;Racing,51.06,2
Casual;Free to Play;Indie;Racing;Early Access,42.86,1
Casual;Free to Play;Indie;Racing;Simulation,41.88,1
Casual;Free to Play;Indie;Racing;Simulation;Early Access,17.75,1
Casual;Free to Play;Indie;Racing;Sports,62.50,1
Casual;Free to Play;Indie;Racing;Strategy,17.39,1
Casual;Free to Play;Indie;Simulation,28.80,30
Casual;Free to Play;Indie;Simulation;Early Access,33.57,3
Casual;Free to Play;Indie;Simulation;Sports,41.09,3
Casual;Free to Play;Indie;Simulation;Sports;Early Access,50.00,1
Casual;Free to Play;Indie;Simulation;Sports;Strategy,36.26,1
Casual;Free to Play;Indie;Simulation;Strategy,34.70,9
Casual;Free to Play;Indie;Simulation;Strategy;Early Access,21.21,2
Casual;Free to Play;Indie;Sports,32.11,2
Casual;Free to Play;Indie;Sports;Early Access,27.59,1
Casual;Free to Play;Indie;Strategy,26.47,27
Casual;Free to Play;Indie;Strategy;Early Access,56.49,2
Casual;Free to Play;Massively Multiplayer,47.55,2
Casual;Free to Play;Massively Multiplayer;Early Access,38.36,1
Casual;Free to Play;Massively Multiplayer;Education,51.43,1
Casual;Free to Play;Massively Multiplayer;RPG,32.04,1
Casual;Free to Play;Massively Multiplayer;RPG;Early Access,15.79,1
Casual;Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,30.50,1
Casual;Free to Play;Massively Multiplayer;RPG;Sports;Early Access,32.14,1
Casual;Free to Play;Massively Multiplayer;Simulation,26.78,3
Casual;Free to Play;Massively Multiplayer;Simulation;Sports,30.43,1
Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Strategy,32.82,1
Casual;Free to Play;Massively Multiplayer;Simulation;Strategy,51.52,1
Casual;Free to Play;Massively Multiplayer;Sports;Strategy,52.05,1
Casual;Free to Play;Massively Multiplayer;Strategy,23.02,3
Casual;Free to Play;RPG,17.63,5
Casual;Free to Play;RPG;Simulation,20.51,1
Casual;Free to Play;RPG;Simulation;Strategy,39.44,1
Casual;Free to Play;Simulation,36.32,27
Casual;Free to Play;Simulation;Animation & Modeling;Early Access,4.02,1
Casual;Free to Play;Simulation;Early Access,16.33,2
Casual;Free to Play;Simulation;Sports,15.38,1
Casual;Free to Play;Simulation;Strategy,60.83,2
Casual;Free to Play;Sports,27.39,3
Casual;Free to Play;Sports;Strategy,27.27,1
Casual;Free to Play;Strategy,32.72,7
Casual;Free to Play;Strategy;Early Access,19.15,3
Casual;Indie,26.12,1482
Casual;Indie;Accounting;Design & Illustration;Software Training;Web Publishing;Documentary;Tutorial,50.00,1
Casual;Indie;Audio Production;Early Access,2.33,1
Casual;Indie;Early Access,30.03,50
Casual;Indie;Education,25.00,1
Casual;Indie;Massively Multiplayer,18.18,1
Casual;Indie;Massively Multiplayer;Early Access,58.10,3
Casual;Indie;Massively Multiplayer;RPG;Early Access,12.50,2
Casual;Indie;Massively Multiplayer;Racing,42.27,2
Casual;Indie;Massively Multiplayer;Simulation;Early Access,42.74,1
Casual;Indie;Massively Multiplayer;Simulation;Sports;Early Access,46.15,1
Casual;Indie;Massively Multiplayer;Simulation;Strategy,53.33,1
Casual;Indie;Massively Multiplayer;Sports;Strategy,88.89,1
Casual;Indie;Massively Multiplayer;Strategy,41.74,5
Casual;Indie;Massively Multiplayer;Strategy;Early Access,25.00,1
Casual;Indie;RPG,26.59,60
Casual;Indie;RPG;Early Access,32.78,4
Casual;Indie;RPG;Simulation,25.77,37
Casual;Indie;RPG;Simulation;Early Access,15.43,3
Casual;Indie;RPG;Simulation;Sports;Strategy,18.07,3
Casual;Indie;RPG;Simulation;Strategy,26.99,22
Casual;Indie;RPG;Simulation;Strategy;Early Access,41.30,6
Casual;Indie;RPG;Strategy,27.36,23
Casual;Indie;RPG;Strategy;Early Access,23.27,5
Casual;Indie;Racing,32.39,59
Casual;Indie;Racing;Early Access,10.31,2
Casual;Indie;Racing;RPG;Simulation;Sports,26.53,1
Casual;Indie;Racing;Simulation,42.84,10
Casual;Indie;Racing;Simulation;Early Access,8.62,2
Casual;Indie;Racing;Simulation;Sports,39.86,9
Casual;Indie;Racing;Simulation;Sports;Early Access,26.97,3
Casual;Indie;Racing;Sports,51.48,10
Casual;Indie;Racing;Sports;Early Access,27.99,3
Casual;Indie;Racing;Strategy,50.00,1
Casual;Indie;Racing;Strategy;Early Access,0.00,1
Casual;Indie;Simulation,29.23,377
Casual;Indie;Simulation;Animation & Modeling;Design & Illustration,10.00,1
Casual;Indie;Simulation;Audio Production,18.18,1
Casual;Indie;Simulation;Early Access,27.86,57
Casual;Indie;Simulation;Education,16.67,1
Casual;Indie;Simulation;Sports,45.68,28
Casual;Indie;Simulation;Sports;Early Access,36.83,17
Casual;Indie;Simulation;Sports;Strategy,34.18,21
Casual;Indie;Simulation;Strategy,36.81,183
Casual;Indie;Simulation;Strategy;Early Access,28.54,23
Casual;Indie;Sports,32.42,45
Casual;Indie;Sports;Early Access,28.43,15
Casual;Indie;Sports;Strategy,51.57,9
Casual;Indie;Sports;Strategy;Early Access,11.11,2
Casual;Indie;Strategy,26.61,445
Casual;Indie;Strategy;Early Access,19.91,21
Casual;Indie;Utilities,0.00,1
Casual;Massively Multiplayer;Early Access,38.46,1
Casual;Massively Multiplayer;Simulation,100.00,1
Casual;Massively Multiplayer;Simulation;Sports;Early Access,50.00,1
Casual;Massively Multiplayer;Simulation;Strategy,60.81,3
Casual;RPG,36.51,12
Casual;RPG;Early Access,57.14,2
Casual;RPG;Simulation,45.47,9
Casual;RPG;Simulation;Strategy,43.24,4
Casual;RPG;Strategy,0.00,2
Casual;RPG;Strategy;Early Access,14.29,1
Casual;Racing,21.88,11
Casual;Racing;Early Access,50.00,1
Casual;Racing;Simulation,50.00,3
Casual;Racing;Simulation;Early Access,60.17,1
Casual;Racing;Simulation;Sports,52.78,2
Casual;Racing;Sports,41.30,3
Casual;Simulation,37.51,128
Casual;Simulation;Animation & Modeling;Design & Illustration;Utilities,33.33,1
Casual;Simulation;Early Access,36.10,14
Casual;Simulation;Sports,44.67,25
Casual;Simulation;Sports;Early Access,61.11,2
Casual;Simulation;Sports;Strategy,29.69,9
Casual;Simulation;Strategy,26.93,45
Casual;Simulation;Strategy;Early Access,69.75,3
Casual;Sports,31.65,21
Casual;Strategy,28.14,100
Casual;Strategy;Early Access,44.86,4
Casual;Strategy;Indie,55.56,1
Design & Illustration,11.74,5
Design & Illustration;Early Access,33.95,4
Design & Illustration;Education;Utilities,22.32,3
Design & Illustration;Education;Utilities;Early Access,0.00,1
Design & Illustration;Photo Editing,17.61,3
Design & Illustration;Utilities,36.44,5
Design & Illustration;Utilities;Game Development,11.90,1
Design & Illustration;Utilities;Video Production,50.00,1
Design & Illustration;Utilities;Web Publishing,14.14,1
Design & Illustration;Utilities;Web Publishing;Early Access,28.57,1
Design & Illustration;Web Publishing,9.45,3
Early Access,36.06,9
Education,29.95,8
Education;Early Access,36.84,1
Education;Software Training,9.47,2
Education;Software Training;Utilities,19.51,1
Education;Software Training;Utilities;Video Production,53.85,1
Education;Software Training;Utilities;Web Publishing,32.35,1
Free to Play,34.09,32
Free to Play;Design & Illustration,5.71,2
Free to Play;Early Access,5.06,1
Free to Play;Indie,23.39,44
Free to Play;Indie;Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing;Early Access,9.62,1
Free to Play;Indie;Early Access,26.00,4
Free to Play;Indie;Massively Multiplayer,36.57,2
Free to Play;Indie;Massively Multiplayer;Early Access,28.82,2
Free to Play;Indie;Massively Multiplayer;RPG,39.49,6
Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy,45.37,1
Free to Play;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access,36.64,1
Free to Play;Indie;Massively Multiplayer;RPG;Strategy,39.83,6
Free to Play;Indie;Massively Multiplayer;RPG;Strategy;Early Access,37.62,2
Free to Play;Indie;Massively Multiplayer;Racing;RPG;Strategy,56.21,1
Free to Play;Indie;Massively Multiplayer;Simulation,28.08,1
Free to Play;Indie;Massively Multiplayer;Simulation;Sports;Strategy,34.98,1
Free to Play;Indie;Massively Multiplayer;Strategy,37.14,12
Free to Play;Indie;Massively Multiplayer;Strategy;Early Access,35.71,2
Free to Play;Indie;RPG,23.63,11
Free to Play;Indie;RPG;Early Access,33.33,1
Free to Play;Indie;RPG;Simulation,27.41,2
Free to Play;Indie;RPG;Simulation;Strategy;Early Access,40.35,1
Free to Play;Indie;RPG;Strategy,24.80,8
Free to Play;Indie;RPG;Strategy;Early Access,28.79,1
Free to Play;Indie;Racing,11.48,2
Free to Play;Indie;Racing;Simulation,52.08,3
Free to Play;Indie;Racing;Simulation;Sports,53.98,1
Free to Play;Indie;Racing;Simulation;Sports;Early Access,55.74,1
Free to Play;Indie;Racing;Sports,46.93,2
Free to Play;Indie;Racing;Strategy,30.49,1
Free to Play;Indie;Simulation,30.44,18
Free to Play;Indie;Simulation;Early Access,20.68,3
Free to Play;Indie;Simulation;Sports,34.16,1
Free to Play;Indie;Simulation;Strategy,24.08,7
Free to Play;Indie;Simulation;Strategy;Early Access,17.32,1
Free to Play;Indie;Sports,21.07,1
Free to Play;Indie;Sports;Early Access,26.25,1
Free to Play;Indie;Sports;Strategy,31.03,2
Free to Play;Indie;Strategy,30.97,34
Free to Play;Indie;Strategy;Early Access,26.83,7
Free to Play;Massively Multiplayer,47.73,5
Free to Play;Massively Multiplayer;Early Access,28.12,2
Free to Play;Massively Multiplayer;RPG,39.43,31
Free to Play;Massively Multiplayer;RPG;Early Access,54.69,1
Free to Play;Massively Multiplayer;RPG;Simulation;Strategy,32.57,1
Free to Play;Massively Multiplayer;RPG;Strategy,51.62,8
Free to Play;Massively Multiplayer;RPG;Strategy;Early Access,36.03,2
Free to Play;Massively Multiplayer;Racing,45.22,1
Free to Play;Massively Multiplayer;Simulation,49.76,4
Free to Play;Massively Multiplayer;Simulation;Sports,23.93,1
Free to Play;Massively Multiplayer;Simulation;Strategy,43.41,4
Free to Play;Massively Multiplayer;Sports,36.99,1
Free to Play;Massively Multiplayer;Strategy,42.31,12
Free to Play;Massively Multiplayer;Strategy;Early Access,38.52,4
Free to Play;RPG,34.61,7
Free to Play;RPG;Early Access,25.11,2
Free to Play;RPG;Simulation,14.25,1
Free to Play;RPG;Strategy,34.02,6
Free to Play;RPG;Strategy;Early Access,25.30,2
Free to Play;Racing;Simulation;Early Access,33.76,1
Free to Play;Racing;Simulation;Sports,41.26,2
Free to Play;Racing;Simulation;Sports;Early Access,48.99,1
Free to Play;Simulation,27.24,21
Free to Play;Simulation;Animation & Modeling;Design & Illustration;Game Development,50.00,1
Free to Play;Simulation;Early Access,26.71,3
Free to Play;Simulation;Sports,17.14,4
Free to Play;Simulation;Strategy,35.69,4
Free to Play;Sports,31.53,1
Free to Play;Sports;Strategy,25.86,1
Free to Play;Strategy,38.13,24
Free to Play;Strategy;Early Access,40.35,7
Gore,22.88,1
Gore;Action,60.74,3
Gore;Action;Adventure;Casual;Indie,27.27,1
Gore;Action;Adventure;Casual;Indie;Early Access,0.00,1
Gore;Action;Adventure;Casual;Indie;Simulation;Strategy,40.00,1
Gore;Action;Adventure;Indie,42.65,13
Gore;Action;Adventure;Indie;Early Access,50.00,1
Gore;Action;Adventure;Indie;RPG,32.56,1
Gore;Action;Adventure;Indie;RPG;Simulation;Early Access,50.00,1
Gore;Action;Adventure;RPG;Early Access,57.14,1
Gore;Action;Adventure;Simulation;Strategy,42.68,1
Gore;Action;Adventure;Strategy,16.00,1
Gore;Action;Casual;Indie,36.24,4
Gore;Action;Casual;Indie;Strategy,33.33,1
Gore;Action;Early Access,80.00,1
Gore;Action;Free to Play;Indie,33.03,1
Gore;Action;Indie,28.08,6
Gore;Action;Indie;RPG,36.27,2
Gore;Action;Indie;RPG;Early Access,61.11,1
Gore;Action;Indie;Racing;Early Access,64.29,1
Gore;Action;Indie;Strategy,34.31,2
Gore;Adventure,25.19,2
Gore;Adventure;Casual;Free to Play;Indie,48.14,1
Gore;Adventure;Casual;Indie,34.06,4
Gore;Adventure;Casual;Indie;Simulation,0.00,1
Gore;Adventure;Indie,36.56,11
Gore;Adventure;Indie;Early Access,20.00,1
Gore;Adventure;Indie;RPG,7.77,2
Gore;Adventure;Indie;Racing,66.67,1
Gore;Adventure;Indie;Simulation,50.00,1
Gore;Adventure;Simulation,11.54,1
Gore;Casual;Indie;Simulation,11.90,2
